,Unnamed: 0,name,selling_price,year,km_driven
0,0,Royal Enfield Classic,175000,2021,350
1,1,Honda Dio,45000,2019,5650
2,2,Royal Enfield Classic,150000,2020,12000
3,3,Yamaha Fazer FI,65000,2017,23000
4,4,Yamaha SZ [2013-2014],20000,2013,21000
5,5,Honda CB Twister,18000,2012,60000
6,6,Honda CB Hornet,78500,2020,17000
7,7,Royal Enfield Bullet,180000,2010,39000
8,8,Hero Honda CBZ,30000,2012,32000
9,9,Bajaj Discover 125,50000,2018,42000
10,10,Yamaha FZ16,35000,2017,32000
11,11,Honda Navi,28000,2018,10000
12,12,Bajaj Avenger Street,80000,2020,21178
13,13,Yamaha YZF R3,365000,2021,1127
14,14,Jawa 42,185000,2022,1700
15,15,Suzuki Access 125,25000,2014,55000
16,16,Hero Honda Glamour,25000,2008,27000
17,17,Yamaha YZF R15,40000,2012,45000
18,18,Royal Enfield Classic,150000,2020,23000
19,19,Yamaha FZ25,120000,2020,39000
20,20,Hero Passion Pro,15000,2010,60000
21,21,Honda Navi [2016-2017],26000,2018,17450
22,22,Honda Activa i,32000,2015,20696
23,23,Jawa Standard,180000,2021,2000
24,24,Royal Enfield Thunderbird,110000,2018,20000
25,25,Honda Dream Yuga,25000,2014,35000
26,26,TVS Apache RTR,80000,2020,15210
27,27,Honda Navi [2016-2017],42000,2019,24000
28,28,Yamaha Fazer [2009-2016],40000,2015,35000
29,29,Hero Honda Splendor,21000,2011,10000
30,30,Hero Glamour 125,55000,2019,2500
31,31,Yamaha FZ S,38000,2015,75000
32,32,Hero Xtreme Sports,43000,2018,50000
33,33,Honda X-Blade,65000,2020,27000
34,34,Honda CB Shine,62000,2021,10000
35,35,Honda Activa 5G,60000,2020,6502
36,36,Hero Glamour 125,45000,2020,21000
37,37,Honda CBR-250R,120000,2018,16000
38,38,Hero Honda Passion,30000,2013,42000
39,39,Royal Enfield Thunderbird,90000,2017,13000
40,40,Bajaj Dominar 400,125000,2019,12800
41,41,Hero Glamour FI,50000,2020,20000
42,42,KTM 390 Duke,175000,2019,4600
43,43,Hero Passion XPro,28000,2014,81000
44,44,Yamaha FZ S,85000,2020,8000
45,45,Hero Achiever 150,29900,2018,55000
46,46,Bajaj Discover 125,25000,2013,57000
47,47,Yamaha FZ16,30000,2011,26000
48,48,Yamaha Saluto,60000,2020,13000
49,49,Yamaha FZ16,35000,2014,29000
50,50,Bajaj Discover 100,25000,2012,43000
51,51,Honda CB Trigger,30000,2017,40000
52,52,Royal Enfield Electra,90000,2012,40000
53,53,Hero Splendor PRO,35000,2017,24000
54,54,Honda Activa 5G,70000,2021,3000
55,55,Hero Honda Passion,25000,2008,75000
56,56,Bajaj Pulsar 150,25000,2012,42000
57,57,Royal Enfield Bullet,90000,2016,13000
58,58,Bajaj Discover 125,25000,2015,55000
59,59,Bajaj Pulsar 150,42000,2013,23000
60,60,Hero Splendor PRO,35000,2017,24000
61,61,Hero Xtreme Sports,50000,2016,80000
62,62,Honda Activa 3G,30000,2017,39000
63,63,Yamaha FZ16,48000,2018,20000
64,64,Honda CB Hornet,65000,2018,30000
65,65,Royal Enfield Thunderbird,85000,2015,21000
66,66,Hero Hunk,45000,2016,41000
67,67,Suzuki Let''s,34000,2016,8000
68,68,Royal Enfield Electra,90000,2010,50000
69,69,TVS Scooty Pep,35000,2014,8150
70,70,Mahindra Mojo XT300,165000,2019,1933
71,71,TVS Apache RTR,35000,2015,55750
72,72,Bajaj Pulsar AS200,65000,2017,15856
73,73,Bajaj Pulsar 150,29500,2015,27000
74,74,Royal Enfield Thunderbird,165000,2021,3700
75,75,Suzuki Intruder 150,95000,2020,21938
76,76,Hero Honda Karizma,50000,2012,48000
77,77,Honda Dio,7500,2011,16000
78,78,Bajaj Xcd,25000,2010,54000
79,79,Hero Splendor Plus,35000,2016,35000
80,80,Royal Enfield Thunderbird,160000,2020,15000
81,81,Honda CB Unicorn,50000,2016,32000
82,82,Honda Activa 5G,62000,2021,3500
83,83,Honda CB Twister,30000,2015,9000
84,84,Hero Splendor PRO,28000,2017,38000
85,85,Hero Honda CD,25000,2011,50000
86,86,Honda Activa i,30000,2017,20000
87,87,Royal Enfield Classic,140000,2020,22000
88,88,TVS Scooty Zest,30000,2019,9432
89,89,Hero CD Deluxe,25000,2016,70000
90,90,Suzuki Access 125,22000,2012,43000
91,91,Honda Activa [2000-2015],22989,2014,500000
92,92,Honda Activa 125,42000,2018,30514
93,93,Suzuki GS150R,30000,2012,130000
94,94,Bajaj Pulsar 220S,55000,2017,45000
95,95,Honda Activa 4G,45000,2020,25000
96,96,Yamaha FZ25,150000,2021,2500
97,97,Bajaj Pulsar 150,42000,2017,22770
98,98,Hero Splendor Plus,30000,2017,30000
99,99,Bajaj Discover 100,24999,2014,35000
100,100,Royal Enfield Thunderbird,160000,2021,6330
101,101,Royal Enfield Classic,175000,2022,500
102,102,Bajaj Pulsar 150,40000,2015,43400
103,103,Bajaj Pulsar NS160,85000,2020,7004
