,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2011,80000,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2010,425000,40,Diesel
2,Hyundai Grand i10,Hyundai,2018,325000,28000,Petrol
3,Ford EcoSport Titanium,Ford,2018,575000,36000,Diesel
4,Ford Figo,Ford,2016,175000,41000,Diesel
5,Hyundai Eon,Hyundai,2017,190000,25000,Petrol
6,Ford EcoSport Ambiente,Ford,2020,830000,24530,Diesel
7,Maruti Suzuki Alto,Maruti,2019,250000,60000,Petrol
8,Skoda Fabia Classic,Skoda,2014,182000,60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2019,315000,30000,Petrol
10,Hyundai Elite i20,Hyundai,2018,415000,32000,Petrol
11,Mahindra Scorpio SLE,Mahindra,2019,320000,48660,Diesel
12,Hyundai Santro Xing,Hyundai,2011,80000,45000,Petrol
13,Mahindra Jeep CL550,Mahindra,2010,425000,40,Diesel
14,Audi A8,Audi,2021,1000000,4000,Petrol
15,Audi Q7,Audi,2018,500000,16934,Diesel
16,Mahindra Scorpio S10,Mahindra,2020,350000,43000,Diesel
17,Maruti Suzuki Alto,Maruti,2018,160000,35550,Petrol
18,Mahindra Scorpio S10,Mahindra,2020,350000,43000,Diesel
19,Mahindra Scorpio S10,Mahindra,2020,310000,39522,Diesel
20,Maruti Suzuki Alto,Maruti,2019,75000,39000,Petrol
21,Hyundai i20 Sportz,Hyundai,2016,100000,55000,Petrol
22,Hyundai i20 Sportz,Hyundai,2016,100000,55000,Petrol
23,Hyundai i20 Sportz,Hyundai,2016,100000,55000,Petrol
24,Maruti Suzuki Alto,Maruti,2021,190000,72000,Petrol
25,Maruti Suzuki Vitara,Maruti,2020,290000,15975,Diesel
26,Maruti Suzuki Alto,Maruti,2012,95000,70000,Petrol
27,Mahindra Bolero DI,Mahindra,2021,180000,23452,Diesel
28,Maruti Suzuki Swift,Maruti,2018,385000,35522,Diesel
29,Mahindra Scorpio S10,Mahindra,2019,250000,48508,Diesel
30,Maruti Suzuki Swift,Maruti,2021,180000,15487,Petrol
31,Maruti Suzuki Wagon,Maruti,2017,105000,39000,Petrol
32,Maruti Suzuki Wagon,Maruti,2017,105000,39000,Petrol
33,Toyota Innova 2.0,Toyota,2016,650000,82000,Diesel
34,Renault Lodgy 85,Renault,2022,689999,20000,Diesel
35,Skoda Yeti Ambition,Skoda,2016,448000,68000,Diesel
36,Maruti Suzuki Baleno,Maruti,2021,549000,32000,Diesel
37,Renault Duster 110,Renault,2016,501000,38000,Diesel
38,Renault Duster 85,Renault,2017,489999,27000,Diesel
39,Honda City 1.5,Honda,2015,280000,33000,Petrol
40,Maruti Suzuki Alto,Maruti,2019,250000,60000,Petrol
41,Maruti Suzuki Dzire,Maruti,2017,349999,46000,Diesel
42,Honda Amaze,Honda,2017,284999,46000,Diesel
43,Honda Amaze 1.5,Honda,2019,345000,36000,Diesel
44,Honda City,Honda,2019,499999,55000,Petrol
45,Datsun Redi GO,Datsun,2021,235000,16000,Petrol
46,Maruti Suzuki SX4,Maruti,2014,249999,36000,Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2019,1475000,47000,Diesel
48,Mahindra Bolero DI,Mahindra,2021,180000,23452,Diesel
49,Maruti Suzuki Swift,Maruti,2018,385000,35522,Diesel
50,Mahindra Scorpio S10,Mahindra,2019,250000,48508,Diesel
51,Maruti Suzuki Swift,Maruti,2021,180000,15487,Petrol
52,Maruti Suzuki Wagon,Maruti,2017,105000,39000,Petrol
53,Maruti Suzuki Wagon,Maruti,2017,105000,39000,Petrol
54,Mahindra Scorpio S10,Mahindra,2019,395000,35000,Diesel
55,Maruti Suzuki Swift,Maruti,2021,220000,30874,Petrol
56,Honda City ZX,Honda,2021,170000,15000,Diesel
57,Maruti Suzuki Wagon,Maruti,2017,85000,29685,Petrol
58,Ford Figo,Ford,2016,175000,41000,Diesel
59,Hyundai Eon,Hyundai,2017,190000,25000,Petrol
60,Tata Indigo eCS,Tata,2021,200000,130000,Diesel
61,Ford EcoSport Ambiente,Ford,2020,830000,24530,Diesel
62,Tata Indigo eCS,Tata,2021,200000,130000,Diesel
63,Mahindra Scorpio SLE,Mahindra,2016,570000,19000,Diesel
64,Volkswagen Polo Highline,Volkswagen,2018,315000,60000,Petrol
65,Skoda Fabia Classic,Skoda,2014,182000,60000,Petrol
66,Maruti Suzuki Stingray,Maruti,2019,315000,30000,Petrol
67,Chevrolet Spark LS,Chevrolet,2014,110000,41000,Petrol
68,Renault Duster 110PS,Renault,2016,501000,35000,Diesel
69,Honda City,Honda,2019,448999,54000,Petrol
70,Mini Cooper S,Mini,2017,1891111,13000,Petrol
71,Datsun Redi GO,Datsun,2021,235000,16000,Petrol
72,Skoda Fabia 1.2L,Skoda,2015,159500,38200,Diesel
73,Honda Amaze,Honda,2019,344999,22000,Petrol
74,Honda Amaze,Honda,2019,344999,22000,Petrol
75,Renault Duster,Renault,2018,449999,50000,Diesel
76,Mini Cooper S,Mini,2017,1891111,13500,Petrol
77,Mahindra Scorpio S4,Mahindra,2019,865000,30000,Diesel
78,Mahindra Scorpio VLX,Mahindra,2018,699000,50000,Diesel
79,Mahindra Quanto C8,Mahindra,2017,375000,20000,Diesel
80,Ford EcoSport,Ford,2021,489999,39000,Petrol
81,Honda Brio,Honda,2016,224999,30000,Petrol
82,Volkswagen Vento Highline,Volkswagen,2023,1200000,3600,Diesel
83,Hyundai i20 Magna,Hyundai,2013,195000,32000,Petrol
84,Toyota Corolla Altis,Toyota,2014,351000,38000,Diesel
85,Hyundai Verna Transform,Hyundai,2012,160000,45000,Petrol
86,Toyota Corolla Altis,Toyota,2013,240000,35000,Petrol
87,Honda City 1.5,Honda,2009,90000,50000,Petrol
88,Hyundai Elite i20,Hyundai,2018,415000,32000,Petrol
89,Skoda Fabia 1.2L,Skoda,2015,155000,45863,Diesel
90,BMW 3 Series,BMW,2015,600000,60500,Petrol
91,Maruti Suzuki A,Maruti,2015,189500,12500,Petrol
92,Toyota Etios GD,Toyota,2017,350000,60000,Diesel
93,Ford Figo Diesel,Ford,2016,210000,35000,Diesel
94,Maruti Suzuki Swift,Maruti,2018,390000,35000,Petrol
95,Chevrolet Beat LT,Chevrolet,2016,135000,45000,Diesel
96,BMW 7 Series,BMW,2013,1600000,35000,Petrol
97,Mahindra XUV500 W8,Mahindra,2017,701000,38000,Diesel
98,Hyundai i10 Magna,Hyundai,2018,265000,18000,Petrol
99,Hyundai Verna Fluidic,Hyundai,2019,525000,35000,Diesel
100,Maruti Suzuki Swift,Maruti,2017,372000,13349,Petrol
101,Maruti Suzuki Ertiga,Maruti,2020,635000,29000,Petrol
102,Ford EcoSport Titanium,Ford,2018,550000,44000,Diesel
103,Maruti Suzuki Ertiga,Maruti,2020,575000,29000,Petrol
104,Maruti Suzuki Ertiga,Maruti,2017,485000,42000,Diesel
105,Maruti Suzuki Alto,Maruti,2016,155000,14000,Petrol
106,Hyundai Grand i10,Hyundai,2018,345000,49000,Diesel
107,Honda Amaze 1.2,Honda,2018,325000,42000,Petrol
108,Hyundai i20 Asta,Hyundai,2016,329500,36200,Diesel
109,Ford Figo Diesel,Ford,2018,195000,50000,Diesel
110,Maruti Suzuki Eeco,Maruti,2019,251111,55000,Petrol
111,Maruti Suzuki Ertiga,Maruti,2018,569999,45000,Petrol
112,Maruti Suzuki Esteem,Maruti,2011,69999,51000,Petrol
113,Maruti Suzuki Ritz,Maruti,2018,299999,19000,Petrol
114,Maruti Suzuki Dzire,Maruti,2013,220000,46000,Petrol
115,Maruti Suzuki Ritz,Maruti,2017,399999,33000,Diesel
116,Maruti Suzuki Swift,Maruti,2017,372000,13349,Petrol
117,Maruti Suzuki Dzire,Maruti,2019,450000,104000,Diesel
118,Toyota Etios Liva,Toyota,2018,270000,55000,Petrol
119,Hyundai i20 Sportz,Hyundai,2015,350000,33333,Diesel
120,Chevrolet Spark,Chevrolet,2016,158400,33600,Petrol
121,Maruti Suzuki Alto,Maruti,2021,350000,5600,Petrol
122,Nissan Micra XV,Nissan,2015,179000,41000,Petrol
123,Maruti Suzuki Swift,Maruti,2011,125000,70000,Petrol
124,Maruti Suzuki Alto,Maruti,2022,200000,7500,Petrol
125,Honda Amaze 1.5,Honda,2017,299000,45000,Diesel
126,Maruti Suzuki Alto,Maruti,2019,220000,38000,Petrol
127,Chevrolet Beat,Chevrolet,2019,150000,30000,Petrol
128,Honda City 1.5,Honda,2014,285000,35000,Petrol
129,Ford EcoSport Trend,Ford,2020,830000,24330,Diesel
130,Hyundai i20 Asta,Hyundai,2013,210000,65480,Petrol
131,Maruti Suzuki Swift,Maruti,2017,340000,41000,Petrol
132,Tata Indica V2,Tata,2010,90000,20000,Petrol
133,Hindustan Motors Ambassador,Hindustan,2004,70000,200000,Diesel
134,Toyota Corolla Altis,Toyota,2014,289999,70000,Petrol
135,Toyota Corolla Altis,Toyota,2016,349999,59000,Petrol
136,Toyota Innova 2.5,Toyota,2016,849999,99000,Diesel
137,Volkswagen Jetta Highline,Volkswagen,2018,749999,46000,Diesel
138,Volkswagen Polo Comfortline,Volkswagen,2019,399999,2800,Petrol
139,Volkswagen Polo,Volkswagen,2018,274999,32000,Petrol
140,Mahindra Scorpio,Mahindra,2019,984999,22000,Diesel
141,Renault Duster,Renault,2018,449999,50000,Diesel
142,Honda Amaze,Honda,2019,344999,22000,Petrol
143,Nissan Sunny,Nissan,2016,224999,45000,Petrol
144,Hyundai Elite i20,Hyundai,2022,599999,21000,Petrol
145,Renault Kwid,Renault,2020,244999,11000,Petrol
146,Renault Duster,Renault,2017,399999,41000,Diesel
147,Ford EcoSport,Ford,2021,489999,39000,Petrol
148,Renault Duster,Renault,2018,474999,50000,Diesel
149,Mahindra Scorpio VLX,Mahindra,2015,499999,66000,Diesel
150,Maruti Suzuki Alto,Maruti,2022,310000,3000,Petrol
151,Chevrolet Spark LT,Chevrolet,2014,85000,45000,Petrol
152,Datsun Redi GO,Datsun,2020,245000,7000,Petrol
153,Maruti Suzuki Swift,Maruti,2014,189500,38500,Diesel
154,Fiat Punto Emotion,Fiat,2016,169500,37200,Diesel
155,Maruti Suzuki Swift,Maruti,2014,159500,43200,Diesel
156,Toyota Etios GD,Toyota,2017,275000,24800,Petrol
157,Hyundai i20 Sportz,Hyundai,2018,370000,60000,Diesel
158,Hyundai i10 Sportz,Hyundai,2014,168000,45872,Petrol
159,Chevrolet Beat LT,Chevrolet,2015,150000,40000,Diesel
160,Chevrolet Beat LS,Chevrolet,2015,145000,45000,Diesel
161,Chevrolet Beat LT,Chevrolet,2016,98500,38000,Diesel
162,Mahindra Scorpio VLX,Mahindra,2018,699000,50000,Diesel
163,Tata Indigo CS,Tata,2015,85000,11400,Diesel
164,Toyota Corolla Altis,Toyota,2019,575000,42000,Petrol
165,Honda City 1.5,Honda,2018,549000,39000,Petrol
166,Maruti Suzuki Swift,Maruti,2015,209000,47000,Diesel
167,Hyundai Eon Era,Hyundai,2017,185000,27000,Petrol
168,Mahindra Scorpio S10,Mahindra,2019,900000,97200,Diesel
169,Mahindra XUV500,Mahindra,2018,699999,52000,Diesel
170,Honda Brio,Honda,2016,224999,30000,Petrol
171,Ford Fiesta,Ford,2015,274999,55000,Diesel
172,Honda Amaze,Honda,2017,284999,46000,Diesel
173,Honda City,Honda,2019,599999,30000,Diesel
174,Maruti Suzuki Wagon,Maruti,2016,199999,44000,Petrol
175,Honda City,Honda,2018,544999,45000,Diesel
176,Hyundai i20,Hyundai,2013,199000,31000,Petrol
177,Tata Indigo eCS,Tata,2020,320000,175430,Diesel
178,Hyundai Fluidic Verna,Hyundai,2019,540000,38000,Diesel
179,Mahindra Quanto C8,Mahindra,2017,340000,37000,Diesel
180,Fiat Petra ELX,Fiat,2012,75000,65000,Petrol
181,Skoda Fabia 1.2L,Skoda,2015,159500,38200,Diesel
182,Mini Cooper S,Mini,2017,1891111,13000,Petrol
183,Hyundai Santro Xing,Hyundai,2009,49000,7500,Petrol
184,Maruti Suzuki Ciaz,Maruti,2020,700000,3350,Petrol
185,Maruti Suzuki Zen,Maruti,2004,55000,60000,Petrol
186,Honda City,Honda,2019,448999,54000,Petrol
187,Hyundai Creta 1.6,Hyundai,2021,895000,32000,Petrol
188,Mahindra Scorpio SLX,Mahindra,2011,355000,75000,Diesel
189,Mahindra Scorpio SLE,Mahindra,2016,565000,62000,Diesel
190,Toyota Innova 2.5,Toyota,2010,365000,73000,Diesel
191,Maruti Suzuki Alto,Maruti,2015,145000,41000,Petrol
192,Maruti Suzuki Wagon,Maruti,2015,210000,35000,Petrol
193,Tata Nano Cx,Tata,2017,40000,2200,Petrol
194,Maruti Suzuki Alto,Maruti,2017,125000,39000,Petrol
195,Maruti Suzuki Wagon,Maruti,2013,135000,45000,Petrol
196,Maruti Suzuki Swift,Maruti,2010,135000,45000,Petrol
197,Tata Sumo Victa,Tata,2016,285000,65000,Diesel
198,Maruti Suzuki Wagon,Maruti,2014,145000,54870,Petrol
199,Maruti Suzuki Alto,Maruti,2014,135000,34580,Petrol
200,Volkswagen Passat Diesel,Volkswagen,2013,450000,97000,Diesel
201,Renault Scala RxL,Renault,2019,375000,25000,Diesel
202,Mahindra Quanto C8,Mahindra,2017,375000,20000,Diesel
203,Hyundai Grand i10,Hyundai,2018,365000,20000,Petrol
204,Hyundai i20 Active,Hyundai,2019,500000,18000,Petrol
205,Mahindra Xylo E4,Mahindra,2016,400000,35000,Diesel
206,Mahindra Jeep MM,Mahindra,2023,390000,60,Diesel
207,Renault Duster 110PS,Renault,2016,501000,35000,Diesel
